# Source of truth for master JSON "features" array. Run: node scripts/build-features-from-csv.mjs
# Columns: Date (YYYY-MM-DD), Time, Event, Activity, Description, Location, isFeatured, Image (card / index), EndTime (optional), ImageFlyer (optional wide hero for feature page detail)
Date,Time,Event,Activity,Description,Location,isFeatured,Image,EndTime,ImageFlyer
2026-06-06,7:00 PM,Book now,Saturday evening,"No featured entertainment is scheduled for this Saturday. The hall and evening time may be available for a community or private event—contact the event coordinator to discuss options.",Hall A,true,event-flyer/bookme.png
2026-06-13,7:00 PM,Book now,Saturday evening,"No featured entertainment is scheduled for this Saturday. The hall and evening time may be available for a community or private event—contact the event coordinator to discuss options.",Hall A,true,event-flyer/bookme.png
2026-06-20,7:00 PM,Karaoke,Karaoke,,Hall A,true,event-flyer/karaoke.png
2026-06-21,1:00 PM,Father's Day Potluck,Father's Day dinner,"Father's Day at McAllen Mobile Park belongs to the dads, granddads, stepdads, uncles, and every father-figure who shows up for this community year after year. Join us for a hearty potluck dinner with neighbors who know how to cook and how to tell a story—bring a favorite dish to share, pull up a chair, and pass the plates with pride. Please bring your own plates, silverware, and drinks. Stop by Hall A in the days ahead to sign up and give us a head count so we can welcome everyone comfortably. Dinner begins at 1:00 PM. When the table quiets down, wander over to Hall B for our monthly ice cream social at 1:45 PM—cones, bowls, and a sweet finish to the afternoon together.",Hall A,true,event-flyer/fathers-day-w.png,1:45 PM,event-flyer/fathers-day-w.png
2026-06-21,1:45 PM,Ice Cream Social,3rd Sunday monthly,"On this Sunday we scoop right after the Father's Day potluck wraps in Hall A. Same friendly third-Sunday tradition May through October: free ice cream in Hall B, flavor of the week, cones and bowls, 1:45–2:15 PM. Kids and residents welcome; no fee or RSVP.",Hall B,true,event-flyer/icecream.png,2:15 PM,event-flyer/icecream-w.png
2026-06-27,7:00 PM,Karaoke,Karaoke,,Hall A,true,event-flyer/karaoke.png
2026-07-04,7:00 PM,Karaoke,Karaoke,,Hall A,true,event-flyer/karaoke.png
2026-07-11,7:00 PM,Karaoke,Karaoke,,Hall A,true,event-flyer/karaoke.png
2026-07-18,7:00 PM,Karaoke,Karaoke,,Hall A,true,event-flyer/karaoke.png
2026-07-19,1:00 PM,Ice Cream Social,3rd Sunday monthly,"Third Sunday each month May through October—free ice cream social in Hall B. Flavor of the week, cones and bowls, 1:00–1:30 PM. Kids and residents welcome; no fee or RSVP.",Hall B,true,event-flyer/icecream.png,1:30 PM,event-flyer/icecream-w.png
2026-07-25,7:00 PM,Karaoke,Karaoke,,Hall A,true,event-flyer/karaoke.png
2026-08-01,7:00 PM,Karaoke,Karaoke,,Hall A,true,event-flyer/karaoke.png
2026-08-08,7:00 PM,Karaoke,Karaoke,,Hall A,true,event-flyer/karaoke.png
2026-08-15,7:00 PM,Karaoke,Karaoke,,Hall A,true,event-flyer/karaoke.png
2026-08-16,1:00 PM,Ice Cream Social,3rd Sunday monthly,"Third Sunday each month May through October—free ice cream social in Hall B. Flavor of the week, cones and bowls, 1:00–1:30 PM. Kids and residents welcome; no fee or RSVP.",Hall B,true,event-flyer/icecream.png,1:30 PM,event-flyer/icecream-w.png
2026-08-22,7:00 PM,Karaoke,Karaoke,,Hall A,true,event-flyer/karaoke.png
2026-08-29,7:00 PM,Karaoke,Karaoke,,Hall A,true,event-flyer/karaoke.png
2026-09-05,7:00 PM,Karaoke,Karaoke,,Hall A,true,event-flyer/karaoke.png
2026-09-12,7:00 PM,Karaoke,Karaoke,,Hall A,true,event-flyer/karaoke.png
2026-09-19,7:00 PM,Karaoke,Karaoke,,Hall A,true,event-flyer/karaoke.png
2026-09-20,1:00 PM,Ice Cream Social,3rd Sunday monthly,"Third Sunday each month May through October—free ice cream social in Hall B. Flavor of the week, cones and bowls, 1:00–1:30 PM. Kids and residents welcome; no fee or RSVP.",Hall B,true,event-flyer/icecream.png,1:30 PM,event-flyer/icecream-w.png
2026-09-26,7:00 PM,Karaoke,Karaoke,,Hall A,true,event-flyer/karaoke.png
2026-10-03,7:00 PM,Karaoke,Karaoke,,Hall A,true,event-flyer/karaoke.png
2026-10-10,7:00 PM,Karaoke,Karaoke,,Hall A,true,event-flyer/karaoke.png
2026-10-17,7:00 PM,Karaoke,Karaoke,,Hall A,true,event-flyer/karaoke.png
2026-10-18,1:00 PM,Ice Cream Social,3rd Sunday monthly,"Third Sunday each month May through October—free ice cream social in Hall B. Flavor of the week, cones and bowls, 1:00–1:30 PM. Kids and residents welcome; no fee or RSVP.",Hall B,true,event-flyer/icecream.png,1:30 PM,event-flyer/icecream-w.png
2026-10-24,7:00 PM,Karaoke,Karaoke,,Hall A,true,event-flyer/karaoke.png
2026-10-31,7:00 PM,Karaoke,Karaoke,,Hall A,true,event-flyer/karaoke.png
2026-04-29,7:00 PM,Encore Karaoke,Special Musical Review,Encore Karaoke with a special musical review.,Hall A,true,event-flyer/encore-karaoke.png
